Sents;Class;;;;;
Yet, buyer-supplier relationships are dyadic in nature.;0;;;;;
Suppliers might have different opinions on the power and interdependence structure of the various buyer-supplier relationships.;0;;;;;
Therefore, there is a need to more fully study the supplier s perspective in order to establish whether or not both parties perceive each other s power position in the relationship in the same way.;0;;;;;
In addition, further research should take a more holistic supply chain perspective on buyer-supplier relationships and acknowledge the possible influence of critical external forces, such as regulation, standards and international trade barriers.;0;;;;;
Compelling evidence indicates that strategic management of supply markets can provide competitive advantage.;0;;;;;
However, in an effort to improve performance, not all purchased materials and buyer-supplier relationships should be managed the same way.;0;;;;;
This suggests that professional purchasing requires differentiation and some sort of classification of these resources.;0;;;;;
Consequently, many portfolio models have been developed, some of which are widely adopted in practice to manage different types of materials or buyer-supplier relationships.;0;;;;;
One of the most commonly used approaches is the Kraljic matrix, which distinguishes non-critical, leverage, bottleneck and strategic purchases along two dimensions: strategic importance and supply risk.;0;;;;;
For each portfolio quadrant, this matrix offers the buying firms corresponding generic strategic recommendations and tactics.;0;;;;;
The traditional, prescriptive view of the Kraljic matrix is intuitively appealing, as it allows purchases to be classified into four quadrants.;0;;;;;
This in turn enables purchasers to implement the quadrant-specific strategic recommendations and tactical sourcing levers in order to maximize performance.;0;;;;;
Failure to achieve the right outcomes indicates either a failure of the tool or a failure of the user.;0;;;;;
In practice, strategy implementation is often not that simple.;0;;;;;
Recommendations made by management tools, such as the Kraljic matrix, may not be seen as prescriptions but as starting points for structured discussion between different actors.;0;;;;;
In-depth discussions on the positions in the Kraljic matrix are considered as the most important phase of the analysis.;0;;;;;
Therefore, over a decade ago, authors of several studies called for moving away from advocating a strict adherence to the deterministic recommendations of the Kraljic Matrix, noting that not all purchased items in the same portfolio quadrant are to be managed in one generic way.;0;;;;;
Rather, experience shows that practitioners also pick tactical sourcing levers from adjacent quadrants that will allow them to move from a current difficult to a future much easier quadrant or power scenario.;0;;;;;
It has been hypothesized that sourcing practice demands that many, if not all, tactical sourcing levers may be used in each of the four quadrants.;0;;;;;
Surprisingly, research on purchasing portfolio models contributes little to verify how tactical sourcing levers are actually applied in practice.;0;;;;;
Prior works contrasted portfolio quadrants by differences in product characteristics, purchasing skills, buyer-supplier, power structures and organizational.;0;;;;;
Still, little is known about the actual use of portfolio models in purchasing.;0;;;;;
There is evident paucity of empirical investigations on tactical sourcing levers that can be employed in each portfolio quadrant to achieve performance targets.;0;;;;;
The move from theoretical consideration to empirical reality is still missing.;0;;;;;
Consequently, the aim of this study is to investigate if tactical sourcing levers are really applied according to the generic suggestions made by purchasing portfolio models.;0;;;;;
To do so, the study is guided by the following research question: Does the application of tactical sourcing levers vary according to strategic importance and supply?;0;;;;;
To answer this question, a detailed review of extant literature about purchasing portfolio models and tactical sourcing levers was first conducted.;0;;;;;
A measurement instrument for supply risk, strategic importance and tactical sourcing levers was developed and applied to sourcing projects including a wide range of direct purchases.;0;;;;;
Each sourcing project was later classified into the non-critical, leverage, bottleneck or strategic quadrant of the Kraljic matrix.;0;;;;;
Finally, sourcing lever profiles for each portfolio quadrant were contrasted with the help of non-parametric tests.;0;;;;;
Tactics are used to particularize overall strategic approaches when transitioning from general strategy to ultimate activities.;0;;;;;
Unfortunately, literature often confusingly uses the term purchasing strategies to describe strategic as well as tactical approaches.;0;;;;;
To avoid confusion, this study uses the terms purchasing strategy to describe strategic approaches related to the overall purchasing department and tactical sourcing levers to describe sets of tactics used to operationalize strategy as a combination of activities in a sourcing category.;0;;;;;
Thereby, a sourcing category includes materials or services of a similar type which constitute a single supply market.;0;;;;;
In contrast to purchasing strategy, tactical sourcing levers do not provide a general orientation for purchasing activities such as achieving annual cost saving targets or fostering innovation.;0;;;;;
Tactical sourcing levers describe a typology of activities through which the goals shall be realized.;0;;;;;
Often with a concrete time specification and traceable milestones.;0;;;;;
A major strength of this study lies in the research design, which directly integrates front-line purchasing agents and their experience in the application of tactical sourcing levers.;0;;;;;
The study has important implications: In a traditional view, each quadrant of the Kraljic matrix requires specific, generic tactics.;0;;;;;
Thereby, most recommendations are limited exclusively to a single portfolio quadrant.;0;;;;;
From such publications, it might be assumed, for example, that only non-critical purchases require efficient processing.;1;;;;;
However, the findings yielded by this study support a more differentiated approach to that suggested in previous works.;0;;;;;
A mix chosen from the entire range of tactical sourcing levers has been found to be used in each portfolio quadrant.;0;;;;;
As strategic importance increases and supply risk reduces, tactical sourcing levers are more extensively used.;2;;;;;
Tactical sourcing levers are applied additively, rather than exclusively.;0;;;;;
This suggests rethinking the task applying the usage of the Kraljic matrix and management tools in general.;0;;;;;
Rather than providing mutually exclusive prescriptions to choosing the right strategic and tactical approaches, the Kraljic matrix may more usefully conceptualized as a space for debate and dialogue to bring together actors with different viewpoints in a way that strategic choices can be made.;0;;;;;
The discussion and analysis of the aforementioned issues commences, providing an overview of relevant literature about purchasing portfolios and tactical sourcing levers.;0;;;;;
The survey design and measurement models are presented.;0;;;;;
The resulting sourcing lever profiles for each portfolio quadrant are contrasted and discussed.;0;;;;;
Implications and suggestions for further research are presented.;0;;;;;
Kraljic adopted the portfolio concept to the purchasing context offering pragmatic advice on how top management can recognize the extent of its own supply weakness and treat it with a comprehensive strategy to manage supply.;0;;;;;
The Kraljic matrix classifies purchased items along the dimensions of strategic importance and supply risk.;0;;;;;
The outcome is a 2x2 matrix, known as the Kraljic matrix, which provides a classification into four portfolio quadrants.;0;;;;;
Non-critical items make up a big share of purchasing items.;1;;;;;
Leverage purchases are characterized by high buyer power.;2;;;;;
In Bottleneck scenarios there is a high supply risk.;3;;;;;
Strategic Partnerships involve both buyer and supplier in joint actions.;4;;;;;
In his original publications, Kraljic recommends specific tactics for each single portfolio quadrant.;0;;;;;
Many alternative suppliers are available for buyers.;1;;;;;
Non-critical purchases are of low strategic importance and ordered frequently from many alternative sources.;1;;;;;
Thus, pertinent tactics focus on reducing transaction costs through product standardization, order volume optimization, efficient processing and inventory optimization.;1;;;;;
Leverage purchases include high volume expenditures in a large marketplace with many alternative suppliers.;2;;;;;
This diversity allows exploitation of full purchasing power, vendor selection, product substitution, targeted pricing negotiations, a mix between contract and spot purchasing and order volume optimization.;2;;;;;
Bottleneck purchases have a low strategic importance and are only available from a small number of sources.;3;;;;;
The tactics that are relevant in this case focus on volume insurance, control of vendors, security of inventories and backup plans.;3;;;;;
Strategic items include essential compenents.;4;;;;;
Strategic purchases are critical for profitability and operations and can be obtained from a limited number of qualified sources.;4;;;;;
They require accurate demand forecasting, detailed market research, development of long-term supply relationships, make-or-buy decisions, contract staggering, risk analysis, contingency planning as well as logistics, inventory and vendor control.;4;;;;;
Over time, several authors have refined the analytical variables on the axes of the Kraljic matrix and added or changed recommendations for the portfolio quadrants.;0;;;;;
Still, the practical application of the Kraljic Matrix exceeds and sometimes contradicts its theoretical use.;0;;;;;
Existing publications create the impression that specific tactical sourcing levers are limited to a single portfolio quadrant.;0;;;;;
For example, Monczka and Handfield list distinct essential tactics in each quadrant of a portfolio matrix.;0;;;;;
Each element is attributed to a single quadrant exclusively.;0;;;;;
Lysons and Farrington list 32 aims and main tasks but only three of these items are named in more than one quadrant.;0;;;;;
Johnson recognize that firms may aim to move products into another quadrant but still list exclusive tactics for each quadrant.;0;;;;;
However, other authors report that most tactical sourcing levers may be used in multiple if not all quadrants of the Kraljic Matrix.;0;;;;;
For example, Cox argue that the original Kraljic matrix fails to recognize tactics aiming to change a purchase's position in the portfolio matrix (dynamic leverage).;0;;;;;
Motivated by moving certain purchased items from one quadrant to another, purchasing agents were found to adopt tactical sourcing levers which, in Kraljic's original design, were associated with adjacent portfolio quadrants.;0;;;;;
Faes and Matthyssens found that several tactical sourcing levers can be implemented in multiple portfolio quadrants.;0;;;;;
In partnerships, long-term relationships are built.;4;;;;;
Often make-or-buy decisions are done prior to establishing a co-operation with partners.;4;;;;;
They report that sustainability objectives motivated companies to adopt intense collaboration and long-term contracts.;4;;;;;
In a recent work, Ate illustrated that many purchase category strategies can be implemented equally effectively in the same Kraljic quadrant.;0;;;;;
Cox even proposes that most tactical sourcing levers may be used for all purchases, no matter in which quadrant of the Kraljic matrix they were classified.;0;;;;;
Consequently, Hesping and Schiele state that, although certain category purchases may be assigned to the same portfolio quadrant, each category requires an individual set of tactical sourcing levers.;0;;;;;
So far, contemporary literature paid little attention to empirically verify if and how the distinct suggestions for each portfolio quadrant are applied in practice.;0;;;;;
To fill this gap, this study developed sourcing lever profiles for each quadrant of the Kraljic matrix from data collected in practice.;0;;;;;
Luzzini found that most publications in the context of purchasing portfolio models only considered the first steps of portfolio management, category classification and strategic priorities.;0;;;;;
Other studies might consider which levers and tools are used according to the different types of categories and different category priorities.;0;;;;;
The leverage item allows for vendor selection.;2;;;;;
The leverage item allows for product substitution.;2;;;;;
The leverage item allows for target pricing.;2;;;;;
There are several models of leverage in purchasing literature.;2;;;;;
While some studies focus on a rather strategic leverage such as long-term outsourcing decisions, this study focuses on the tactical sourcing levers used to implement strategy.;0;;;;;
Distinct from general strategy, tactics form clusters of activities with a concrete time specification and tractable milestones.;0;;;;;
In contrast to a purchasing strategy, tactical sourcing levers do not provide a general orientation for purchasing activities such as achieving annual cost reduction targets or fostering innovation.;0;;;;;
Rather, tactical sourcing levers describe sets of tactics used to operationalize strategy as a combination of activities in a sourcing category.;0;;;;;
In that respect, they cover multiple competitive priorities such as cost reduction, quality, innovation or security of supply.;0;;;;;
Extant literature describes several lever models with various activities merged into coherent groups or sets.;0;;;;;
Some models range from fifteen value levers merged into five lever groups, 64 methods grouped into sixteen levers in a purchasing chessboard to 114 tactical levers merged into seven categories of tactical levers.;0;;;;;
This study focuses on the empirically most elaborated sourcing lever model presented by Schiele, Schumacher and Schiele which has been applied in 134 cross-functional sourcing strategy workshops.;0;;;;;
Their taxonomy includes sets of similar activites grouped into seven core tactical sourcing levers Volume bundling, which refers to the consolidation of demand and increasing purchase volume.;0;;;;;
Price evaluation, which refers to forming price targets and analyzing suppliers bids, cost structures and value propositions.;0;;;;;
Extension of supply base, pertaining to increasing the number of sources and bidders per request for quotation.;0;;;;;
Product optimization, refering to modifications to the design, functions and materials of the purchased items.;0;;;;;
Process optimization, which refers to efficient and effective processes related to the buyer-seller interfaces.;0;;;;;
Optimization of supply relationships, which pertains to establishing and maintaining effective relationships between buyer and suppliers in the market.;4;;;;;
Category-spanned optimization, which relates to balancing trade-offs among multiple sourcing categories and adopting mutual approaches, applied by otherwise distinct sourcing teams.;0;;;;;
It is worth mentioning that these seven levers appear similar to the seven categories of tactical levers by Cox.;0;;;;;
However, to avoid confusion with the term sourcing category, we adopted the wording tactical sourcing lever to describe a set of similar tactical sourcing activities.;0;;;;;
Some tactical sourcing levers may appear identical to a strategy.;0;;;;;
Purchasing strategy may be defined in terms of strategic priorities such as cost, flexibility and innovation.;0;;;;;
To reach these strategic priorities, managers can choose a mix of sourcing tactics, tactical sourcing levers, made up of a set of activates to implement overall strategy.;0;;;;;
For example, to reach the strategic goal of innovation, managers might opt for the tactical sourcing lever product optimization followed by various activities to make modifications to the design, functions and materials of the purchased items.;0;;;;;
As another option, they might choose to implement the tactical sourcing lever optimization of supplier relationships in order to become more attractive towards a selected number of suppliers and their innovative products.;0;;;;;
Hence, optimization of supplier relationships can be understood as one out of several tactical sourcing levers to reach the strategic goal of innovation but not as a strategy by itself.;0;;;;;
Nevertheless, to be able to implement the tactical sourcing lever optimization of supplier relationships, appropriate supplier strategies at a subordinate level may be needed.;0;;;;;
Several recent studies present conceptual frameworks linking purchasing portfolios with tactical sourcing levers.;0;;;;;
Among these, Schuh, Hess, Lysons and Farrington and O'Brien are noted for grouping tactical sourcing levers into the quadrants of a purchasing portfolio matrix.;0;;;;;
However, in these literature sources, these concepts were developed solely for practical application, or only incidentally referred to previous academic work.;0;;;;;
Academics contributed relatively little to the identification of tactical sourcing levers that are most suitable for each portfolio quadrant within the Kraljic matrix.;0;;;;;
Exploitation of purchasing power is limited to leverage purchases.;2;;;;;
The present study aimed to assess whether and how the application of tactical sourcing levers varies among non-critical, leverage, bottleneck and strategic purchases.;0;;;;;
To achieve this objective, sourcing projects had to be classified and sourcing lever profiles developed for each portfolio quadrant.;0;;;;;
Multi-item scales were developed to collect data about strategic importance, supply risk and sourcing lever profiles for sourcing projects.;0;;;;;
Depending on a high score for strategic importance and supply risk, an observation could be classified into the strategic purchases.;4;;;;;
Ultimately, the sourcing lever profiles of the quadrants were formally analyzed with respect to differences and similarities using non-parametric tests.;0;;;;;
In this study, a multi-step process was used to develop and validate the survey instrument.;0;;;;;
A review of purchasing, marketing, operations and supply chain management literature was conducted to identify construct definitions and existing measures for strategic importance and supply risk.;0;;;;;
This allowed the adoption of the world methodology to develop survey items for each tactical sourcing lever via an academic-practitioner collaborative approach.;0;;;;;
The original analytic variables of Kraljic do not provide robust reflective, multi-item scales.;0;;;;;
For example, Kraljic, state that their mentioned analytic variables are not complete.;0;;;;;
The list of analytic variables in Kraljic ends, indirectly asking the reader to complement them.;0;;;;;
Over time, researchers have built on Kraljic's seminal work, developed and refined reflective, multi-item scales for purchase importance and supply risk.;0;;;;;
Therefore, to enable empirical evaluations in the subsequent course of this research, this paper moves beyond Kraljic's original analytic variables and integrates refined multi-item scales from contemporary literature.;0;;;;;
The first dimension was strategic importance, which relates to the financial and strategic significance of the purchase reflecting not only the direct monetary value but also the impact of the purchase outcome on the buying firm's goals, profitability and customer relationships.;0;;;;;
This also includes the degree to which the purchase is critical to the manufacture of a firm's products.;0;;;;;
To measure this construct, a 5-item scale for strategic importance was developed, incorporating two items related to monetary value and effect on profitability from Lau, one item about management priority and two items about relative importance from Ellis.;0;;;;;
Contingency plans have to be made in case supply is shortened.;3;;;;;
The second dimension was supply risk, which relates to the threat of a temporary or permanent perturbation or disruption of supply associated with a firm's supply network.;3;;;;;
This includes supplier business risks, such as capacity constraints, quality problems or technological changes in the supply market.;3;;;;;
In particular, this dimension pertains to the threat of financial instability of suppliers and the consequences of supplier default.;0;;;;;
Empirical evidence suggests that supply risk may stem from poor operational performance or opportunistic behavior of suppliers.;0;;;;;
Lock-in situations are an important threat, as they make an organization highly dependent on a supplier, due to the very limited number of alternative sources.;3;;;;;
For measuring this construct, a 7-item scale was developed that incorporates three items about capacity shortages, supply problems and supplier demise.;3;;;;;
The availability of alternative sources offers great possibilities for buyers.;2;;;;;
In completing the questionnaire, the respondents were required to state the extent to which they agreed with the corresponding statements on a 7-point Likert scale.;0;;;;;
Over time, literature discussed multiple sets of tactics related to purchasing portfolio models.;0;;;;;
As discussed previously, recent studies have systematized this knowledge and developed a taxonomy of seven core tactical sourcing levers, whereby each lever consists of a set of similar activities that are used to improve sourcing performance for a sourcing category.;0;;;;;
However, contemporary literature provides very limited guidance regarding the activites related to each lever which may serve as indicators in empirical investigations.;0;;;;;
Consequently, the present study capitalized on extensive collaboration with one large, global, automotive OEM to develop a list of indicators for the application of the seven core tactical sourcing levers.;0;;;;;
Tactical sourcing levers directly address actions that decision makers can take to achieve desired outcomes.;0;;;;;
This strong practical orientation suggests an academic-practitioner collaborative research approach to identify relevant indicators.;0;;;;;
In other academic-practitioner research collaborations, scholars tended to use Delphi method, focus groups or the world methodology.;0;;;;;
The Delphi method is based on a structured series of questionnaires with items and rankings followed by controlled feedback.;0;;;;;
However, the iterative survey process that can last several weeks was in most cases found disadvantageous as it often results in a low response rate.;0;;;;;
Distinct from the Delphi method, focus groups are a form of group interview that capitalizes on communication between research participants in order to generate data.;0;;;;;
However, the recommendation that the ideal focus group size is limited to 8 to 12 participants was found disadvantageous.;0;;;;;
Some authors also noted that multiple sessions for the same group may have to be scheduled to collect rich and stable data, making the process arduous and difficult to manage.;0;;;;;
The world is a promising and powerful approach to effective and efficient identification of items for a theoretical concept.;0;;;;;
In essence, it uses intimate conversations at small style tables, or in small conversation clusters, link, and build on each other as people move between groups, cross-pollinate ideas.;0;;;;;
Different from the majority of other quantitative and qualitative research approaches, world caf methodology directly integrates practitioners into the research process.;0;;;;;
It stimulates dialectic discussions between academics and practitioners and among practitioners with various backgrounds and experiences.;0;;;;;
This strategy avoids narrowly-minded toolbox thinking, while allowing a large group's knowledge to be captured much quicker than through the data collection process based on multiple interviews.;0;;;;;
Although the world caf shares some characteristics with focus groups, its distinguishing features make it more suitable for the present study's setting.;0;;;;;
First, the number of caf tables could be adjusted to allow involvement of 24 participants representing the focal company's entire range of sourcing categories.;0;;;;;
Second, the world caf can be held in one session, thus avoiding problems associated with reoccurring sessions, such as participant unavailability and attrition.;0;;;;;
The data collection strategy adopted in this study, as noted above, followed the basic world caf structure, suggested by Brown and Isaacs, Prewitt and Hoffmann.;0;;;;;
It comprised of the following activities.;0;;;;;
In the early stages of the caf preparation, academics and practitioners engaged over several months to come to a shared foundation of the research question.;0;;;;;
Simultaneously, moderators, location and possible participants of the world caf were identified.;0;;;;;
During the review of extant literature on sourcing levers, several cost saving activities were identified.;0;;;;;
To stimulate table discussions, these activities were printed on posters.;0;;;;;
The study participants were invited to change, add or integrate findings by making notes on the posters.;0;;;;;
Three tables with six to seven seats were set up to allow multiple participants from diverse backgrounds to participate in discussions, while retaining an intimate atmosphere that facilitates interaction.;0;;;;;
Three to four sourcing levers were discussed at each table.;0;;;;;
Three discussion rounds were held, each lasting 30 to 40 minutes.;0;;;;;
After each round, participants at each table split up to form new group constellations at different tables.;0;;;;;
While each participant was required to sit at each table, there was no pre-defined order.;0;;;;;
The main goal was to allow all individuals to engage in the discussion of all presented sourcing levers.;0;;;;;
At the end of the discussion rounds, academic facilitators and participants came together for a collective concluding session.;0;;;;;
Having just discussed all of the presented sourcing levers, participants now had the chance to contrast them, as well as eliminate possible overlaps and inconsistent findings.;0;;;;;
As a part of this session, each participant had the chance to evaluate the results by placing stickers on several indicators they considered the most important.;0;;;;;
As a result, 23 activities were assigned to the seven core tactical sourcing levers.;0;;;;;
The world caf discussions showed that purchasing agents differentiate various degrees to which they employ a certain tactical sourcing lever and corresponding activities.;0;;;;;
For example, when the entire volume was concentrated on one supplier respondents indicated an extensive use of that activity.;0;;;;;
However, when only a limited share of the volume was concentrated on one supplier respondents indicated less use of that activity.;0;;;;;
Similarly, if time and resources were limited for price evaluations, the recalculation sometimes focused on the raw material costs of one main component only.;0;;;;;
With more time and resources, recalculations may include the entire bill of materials as well as logistics and overhead costs.;0;;;;;
Therefore, in the subsequent survey, the respondents were asked to relate their answer to the time and resources invested in previous projects, indicating the extent to which they applied each sourcing activity using a 7-point Likert scale anchored extensively used.;0;;;;;
For this sourcing project, which activities of the following sourcing levers are used.;0;;;;;
Sample frame and data collection: front-line purchasing agents for direct purchases were questioned at the point of supplier nomination.;0;;;;;
Unit of analysis was the multitude of direct sourcing projects managed at the European headquarters of the same automotive OEM that took part in the world caf.;0;;;;;
The study intentionally focused on direct sourcing projects within a single OEM in order to get access to a reasonable number of comparable sourcing projects and front-line purchasing agents.;0;;;;;
Several of the analyzed tactical sourcing levers may be relevant to both direct purchases, which immediately enter the firm's core products, and indirect purchases, which tend to serve as input for the day-to-day business operations.;0;;;;;
However, indirect purchases were not included as the focal firm follows distinct purchasing processes for indirect purchases that might have limited the access to purchasing agents and biased the selection of sourcing projects and the employment of sourcing levers.;0;;;;;
The focal firm's category managers for direct purchases are directly involved in most purchasing activities.;0;;;;;
The focal firm's processes for indirect products in contrast, involve a high degree of decentralized orders from a wider number of non-professional buyers.;0;;;;;
For example, the category managers for direct purchases are immediately involved in employing the price evaluation lever, including value and cost analysis methods.;0;;;;;
Indirect purchases, in contrast highly use blanket order processes involving previous sourcing activities such as tender preparation by non-professional purchasers.;0;;;;;
Sourcing projects are not independent from each other in a way that volume bundling in a certain sourcing project, for example, may only become possible because related items from sourcing projects are bundled together to increase volume per request of quotation.;0;;;;;
With regard to this interdependence, the focal firm has an established category management process, forcing category managers to regularly review their sourcing projects in the context of related sourcing projects and the entire purchasing department.;0;;;;;
This breath of experience allowed the respondents to relate to a wider range of sourcing projects when answering the strategic importance and the category-spanning optimization survey items.;0;;;;;
The OEM's direct purchasing activities are highly centralized.;0;;;;;
Nearly all of the purchasing projects are managed by the category managers being situated at the European headquarters.;0;;;;;
That way, the full global range of the OEM's direct purchasing activities could be accessed for this study.;0;;;;;
Most of the category managers have a common European cultural background which might have influenced their choice of sourcing levers.;0;;;;;
However, in the category management process the category managers regularly coordinate their approaches with purchasing entities in the involved global regions.;0;;;;;
Hence, it was not expected that cultural preferences have a strong influence on their choice of tactical sourcing levers.;0;;;;;
For the category managers, the overarching strategy for the entire purchasing department only functions as rough guidelines.;0;;;;;
At the core of their decision making are the specific characteristics of the sourcing category.;0;;;;;
Nevertheless, as a possible limitation, the OEM's overall business strategy might have limited the choice of tactical sourcing levers by the questioned category managers.;0;;;;;
To minimize this limitation, at the beginning of this study, academics and practitioners engaged for a period of more than two years.;0;;;;;
Thereby, it was found that the OEM's purchasing organization has reached a high degree of maturity.;0;;;;;
The OEM's overall business strategy builds the basis for its purchasing policies and is fully reflected in its functional purchasing strategy.;0;;;;;
Next to cost saving targets, the functional purchasing strategy includes targets for innovation, security of supply, quality and sustainability which are broken down to each sourcing category.;0;;;;;
Previous studies assume that mature purchasing organizations apply world-class best practices.;0;;;;;
Therefore, it is expected that an extensive range of tactical sourcing levers is applied by a mature purchasing organization to the OEM's sourcing projects.;0;;;;;
All survey items were pre-tested with an expert panel of category managers from the focal firm, none of whom previously took part in the research process.;0;;;;;
They were asked to check the relevance of all questions and identify vague concepts or unfamiliar terms.;0;;;;;
To minimize bias arising from information recall, the supplier nomination stage was chosen as point of reference for the purchaser.;0;;;;;
For supplier nomination, the category manager has to present the strategic rationale of the respective sourcing project to management at the corporate sourcing committee.;0;;;;;
The data collection process aimed to generate a data set that represents the full range of the focal company's direct sourcing projects.;0;;;;;
Thereby, data about 107 direct sourcing projects could be collected between May and September 2014.;0;;;;;
The focal company launched products and respective sourcing projects throughout the year.;0;;;;;
Therefore, it was expected that the data set is not affected by seasonal effect or exceptional sourcing events.;0;;;;;
Each time a supply contract was awarded and registered in the IT-system in the respective period, the responsible category manager was visited by the researcher and the questionnaire was completed jointly.;0;;;;;
In this way, and random selection of sourcing projects and a maximum validity was ensured generating high quality data.;0;;;;;
In a few cases, several projects have been completed and registered in the IT-system by the responsible purchaser in the same period.;0;;;;;
In that case, one sourcing project has been randomly drawn by the researcher.;0;;;;;
Due to the IT-system architecture, some of the registered sourcing projects are solely virtual and do not reflect really existing sourcing projects.;0;;;;;
These virtual sourcing projects might stem from a new version of a sourcing project in the IT-system, when for example making changes to the technical quotation documents during the quotation process.;0;;;;;
The researchers payed attention that none of these virtual sourcing projects entered the data set.;0;;;;;
Initially, confirmatory factor analysis was used to assess reliability and validity of the multi-item, reflective scales for strategic importance and supply risk.;0;;;;;
Survey items, item-to-construct loadings, means, standard deviations, average variance extracted and scale reliabilities are listed in reports on inter-construct loadings.;0;;;;;
All item-to-construct loadings were significant and were well above the cut-off value of 0.7 indicating a substantive contribution.;0;;;;;
Reliability of the scales was also tested using Cronbach's alpha, average variance extracted, and composite reliability scores.;0;;;;;
Cronbach's alpha and CR statistics both substantially exceed the threshold value of 0.7, indicating internal consistency.;0;;;;;
In addition, both scales surpass the minimum value of 0.5 for AVE, indicating convergent validity.;0;;;;;
Discriminant validity of the scales was also assessed by checking the item-to- construct loadings and using the Fornell-Larcker criterion.;0;;;;;
The item loadings onto the corresponding construct showed no critical levels of cross-loadings, while all square roots of the AVE were higher than the corresponding inter-construct correlations, indicating unidimensionality.;0;;;;;
Thereafter, the analyzed sourcing projects were classified into the quadrants of the Kraljic matrix.;0;;;;;
Namely non-critical, which are of low strategic importance and low supply risk.;1;;;;;
Leverage items are characterized by high strategic importance and low supply risk.;2;;;;;
Bottleneck items are characterized by a low strategic importance but a high supply risk.;3;;;;;
Strategic purchases include compenents with high strategic importance and high supply risk.;4;;;;;
Using dichotomization by mean split, the continuous measurements for strategic importance and supply risk were used to create low and high groups based on whether the scores were greater or less than the mean of the 7-point Likert scale.;0;;;;;
An observation was classified as low if the variable score was below 4 and as high if the score was equal or above 4.;0;;;;;
Finally, as part of this investigation, profiles for the 23 activities as well as for the aggregated tactical sourcing levers were developed for each of the four portfolio quadrants.;0;;;;;
The scores for each of the seven tactical sourcing levers were calculated from the mean of the corresponding sourcing activities.;0;;;;;
These profiles were subsequently compared with the average profile across all 107 sourcing projects.;0;;;;;
Then, the profiles were formally tested for significant differences and similarities among the portfolio quadrants using non-parametric tests.;0;;;;;
Thereby, the Kruskal-Wallis allowed analyzing differences and similarities jointly among all four portfolio quadrants, while the Mann-Whitney test allowed separate analyses of pairs of two portfolio quadrants.;0;;;;;
Similar to formative indicators, each activity defines a different aspect of the same domain, a tactical sourcing lever.;0;;;;;
Therefore, the activities related to the same tactical sourcing lever were not required to correlate.;0;;;;;
The test results for each analyzed activity and tactical sourcing lever are reported in the Appendix A 7-point.;0;;;;;
To allow for a visual interpretation, the test results for the seven tactical sourcing levers have also been plotted.;0;;;;;
In the following paragraphs, the sourcing lever profiles and significant differences across portfolio quadrants were discussed in relation to the generic tactics from the literature review.;0;;;;;
The findings in the following discussion need to be interpreted with regard to the fact that this study intentionally focused on direct sourcing projects within one large, global automotive OEM to allow accessing the knowledge of front-line purchasing agents.;0;;;;;
Remedies have been taken to reduce potential bias as described in the sections on data collection and limitations.;0;;;;;
The pattern of sourcing lever application may potentially be influenced by the respondents norms they developed in response distinct degrees of strategic importance and supply risk.;0;;;;;
Non-critical purchases are easy to source.;1;;;;;
This portfolio quadrant is characterized by a below average strategic importance and a below average supply risk.;1;;;;;
The below average scores for optimization of supply relationships and product optimization fit well to generic tactical suggestions.;1;;;;;
Non-critical purchases are less complex.;1;;;;;
Available literature suggests forging a greater variety of transactional supplier relationships, while product standardization becomes important for reducing the effort of managing a large number of technical variants.;1;;;;;
However, in contrast to this advice, in this study, volume bundling was the least utilized approach across all four portfolio quadrants.;0;;;;;
Non-critical purchases show similar scores for extension of supply base and price evaluation.;1;;;;;
Non-critical products are supposed to require a rationalization of the supply base, without the need to conduct price evaluation such as target or open book costing.;1;;;;;
These products are characterized by an above average strategic importance and a below average supply risk.;2;;;;;
Leverage purchases score below average for product optimization only.;2;;;;;
Such purchases are of a high monetary value and allow choosing among several alternative suppliers.;2;;;;;
Purchasing teams strongly exploit the company's buying power through price evaluation, volume bundling and extension of supply base.;2;;;;;
They do actively collaborate with suppliers in terms of product optimization.;4;;;;;
Purchasing teams relied the most on price evaluation and significantly more than when making bottleneck purchases.;3;;;;;
Bottleneck purchases account for purchases in which there are just a few suppliers with high power.;3;;;;;
This portfolio quadrant is characterized by a below average strategic importance and an above average supply risk.;3;;;;;
Bottleneck purchases score below average for strategic importance.;3;;;;;
Only optimization of supply relationships approached the average value.;0;;;;;
Available literature suggests focusing on volume insurance.;3;;;;;
Purchasing teams relied more on optimization of supply relationships than on extension of supply base to establish alternative sources.;3;;;;;
Significantly less effort was invested into extension of supply base, participants were much more reliant on optimization of supply relationships.;3;;;;;
In addition, product optimization seems to have a very limited potential only.;0;;;;;
In the case of strategic purchases, purchasers invest significantly more effort into product optimization.;4;;;;;
This portfolio quadrant is characterized by an above average strategic importance and an above average supply risk.;4;;;;;
Strategic purchases scored above average for collaboration and co-operation for joint development.;4;;;;;
The highest scores were noted for product optimization followed by volume bundling.;4;;;;;
Literature on this subject suggests sophisticated and privileged, cooperative sourcing approaches for strategic purchases.;4;;;;;
This study's findings show that a wide range of tactical sourcing levers and much effort is invested into strategic purchases.;4;;;;;
Purchasing teams placed great importance on product optimization and optimization of supply relationships.;4;;;;;
In bottleneck purchases, purchasing teams relied significantly on product optimization.;3;;;;;
In comparison, strategic products score the highest on optimization of supply relationships.;4;;;;;
